,sub_cluster,words,cluster
180,Throat and Mouth,voice,(Super cluster 12: The Human Body)
181,Throat and Mouth,gum,(Super cluster 12: The Human Body)
182,Throat and Mouth,jaw,(Super cluster 12: The Human Body)
183,Throat and Mouth,lip,(Super cluster 12: The Human Body)
184,Throat and Mouth,tongue,(Super cluster 12: The Human Body)
185,Limbs,arm,(Super cluster 12: The Human Body)
186,Limbs,elbow,(Super cluster 12: The Human Body)
187,Limbs,finger,(Super cluster 12: The Human Body)
188,Limbs,hand,(Super cluster 12: The Human Body)
189,Limbs,thumb,(Super cluster 12: The Human Body)
190,Limbs,shoulders,(Super cluster 12: The Human Body)
191,Limbs,wrist,(Super cluster 12: The Human Body)
192,"Muscles, Bones and Nerves",bone,(Super cluster 12: The Human Body)
193,"Muscles, Bones and Nerves",joint,(Super cluster 12: The Human Body)
194,"Muscles, Bones and Nerves",muscle,(Super cluster 12: The Human Body)
195,"Muscles, Bones and Nerves",skeleton,(Super cluster 12: The Human Body)
196,Head and Face,cheek,(Super cluster 12: The Human Body)
197,Head and Face,chin,(Super cluster 12: The Human Body)
198,Head and Face,face,(Super cluster 12: The Human Body)
199,Head and Face,head,(Super cluster 12: The Human Body)
200,Head and Face,brain,(Super cluster 12: The Human Body)
201,Head and Face,forehead,(Super cluster 12: The Human Body)
202,Head and Face,mind,(Super cluster 12: The Human Body)
203,The Body (General),body,(Super cluster 12: The Human Body)
204,The Body (General),lap,(Super cluster 12: The Human Body)
205,The Body (General),neck,(Super cluster 12: The Human Body)
206,The Body (General),belly,(Super cluster 12: The Human Body)
207,The Body (General),chest,(Super cluster 12: The Human Body)
208,The Body (General),hip,(Super cluster 12: The Human Body)
209,The Body (General),waist,(Super cluster 12: The Human Body)
210,Body Fluids,blood,(Super cluster 12: The Human Body)
211,Body Fluids,bleed,(Super cluster 12: The Human Body)
212,Body Fluids,sweat,(Super cluster 12: The Human Body)
213,"Ears, Eyes and Nose",ear,(Super cluster 12: The Human Body)
214,"Ears, Eyes and Nose",eye,(Super cluster 12: The Human Body)
215,"Ears, Eyes and Nose",nose,(Super cluster 12: The Human Body)
216,"Ears, Eyes and Nose",eyebrow,(Super cluster 12: The Human Body)
217,"Ears, Eyes and Nose",eyelash,(Super cluster 12: The Human Body)
218,"Ears, Eyes and Nose",nostril,(Super cluster 12: The Human Body)
219,Body Coverings and Marks,bump,(Super cluster 12: The Human Body)
220,Body Coverings and Marks,hair,(Super cluster 12: The Human Body)
221,Body Coverings and Marks,rash,(Super cluster 12: The Human Body)
222,Body Coverings and Marks,skin,(Super cluster 12: The Human Body)
223,Body Coverings and Marks,bald,(Super cluster 12: The Human Body)
224,Body Coverings and Marks,beard,(Super cluster 12: The Human Body)
225,Body Coverings and Marks,bruise,(Super cluster 12: The Human Body)
226,Body Coverings and Marks,freckle,(Super cluster 12: The Human Body)
227,Body Coverings and Marks,pigtail,(Super cluster 12: The Human Body)
228,Body Coverings and Marks,scar,(Super cluster 12: The Human Body)
229,Organs,stomach,(Super cluster 12: The Human Body)
230,Organs,heart,(Super cluster 12: The Human Body)
231,Legs and Feet,feet,(Super cluster 12: The Human Body)
232,Legs and Feet,foot,(Super cluster 12: The Human Body)
233,Legs and Feet,knee,(Super cluster 12: The Human Body)
234,Legs and Feet,leg,(Super cluster 12: The Human Body)
235,Legs and Feet,toe,(Super cluster 12: The Human Body)
236,Legs and Feet,ankle,(Super cluster 12: The Human Body)
237,Legs and Feet,heel,(Super cluster 12: The Human Body)
238,Trees/Bushes (Parts),branch,(Super cluster 13: Trees and Plants)
239,Trees/Bushes (Parts),leaf,(Super cluster 13: Trees and Plants)
240,Trees/Bushes (Parts),twig,(Super cluster 13: Trees and Plants)
241,Trees/Bushes (Parts),bark,(Super cluster 13: Trees and Plants)
242,Trees/Bushes (Parts),limb,(Super cluster 13: Trees and Plants)
